"Name","Average coverage","Reference length"
"682","4.742","23560"
"683","12.409","10750"
"684","3.698","1951"
"685","80.107","20214"
"686","6.356","1188"
"687","2.459","3855"
"688","2.021","3963"
"689","62.697","7697"
"690","52.296","8198"
"691","5.575","15035"
"692","120.673","1478"
"693","1253.345","1525"
"694","1.153","3206"
"695","1.688","3383"
"696","13.492","12754"
"697","1778.839","1844"
"698","2.25","6344"
"699","13.814","17762"
"700","11.224","22742"
"701","60.722","14781"
"702","2295.482","2577"
"703","63.877","8000"
"704","1.792","2511"
"705","5.681","1012"
"706","42.053","2445"
"707","10.979","5567"
"708","16.613","3122"
"709","63.674","19328"
"710","2025.976","18099"
"711","3.828","5562"
"712","4.77","42698"
"713","8.667","2298"
"714","2016.473","3163"
"715","3.697","21659"
"716","3.611","4203"
"717","1.599","1211"
"718","67.079","35599"
"719","0.289","18162"
"720","12.761","1218"
"721","5.887","6598"
"722","8.897","10807"
"723","2013.284","1502"
"724","0.328","10584"
"725","30.251","19386"
"726","9.116","1226"
"727","19.058","4749"
"728","0.146","2424"
"729","0.381","1177"
"730","0.715","217602"
"731","0.523","1919"
"732","2064.538","1105"
"733","98.727","1211"
"734","0.192","3790"
"735","1.905","246560"
"736","2.325","1648"
"737","0.435","16061"
"738","55.786","7943"
"739","3.668","89468"
"740","333.933","4027"
"741","0","2320"
"742","53.45","4978"
"743","1.358","35018"
"744","47.946","9376"
"745","11.074","10036"
"746","2.164","6171"
"747","19.219","82823"
"748","3.569","31353"
"749","17.166","5636"
"750","2032.206","4098"
"751","4.051","1107"
"752","16.977","3081"
"753","7.836","19251"
"754","23.483","32050"
"755","50.064","6046"
"756","334.001","1268"
"757","1.463","3074"
"758","68.355","5687"
"759","0.178","10466"
"760","1.765","6986"
"761","58.762","14328"
"762","9.894","5862"
"763","1.143","5326"
"764","0","2116"
"765","2.351","443267"
"766","2.146","1248"
"767","0.224","3648"
"768","0.701","20340"
"769","5.513","2455"
"770","2791.91","3318"
"771","9.108","8675"
"772","94.438","46650"
"773","0.758","7740"
"774","66.076","1377"
"775","23.196","1825"
"776","4.412","9227"
"777","14.273","7687"
"778","1.392","2841"
"779","23.66","11072"
"780","10.636","1359"
"781","61.542","1244"
"782","2029.753","1351"
"783","0.321","10915"
"784","44.005","12311"
"785","0.212","6558"
"786","1.802","118542"
"787","55.617","12426"
"788","49.249","28687"
"789","40.752","6105"
"790","0.704","15621"
"791","5.543","3166"
"792","1361.176","1527"
"793","7.902","3387"
"794","7.322","3034"
"795","17.338","5940"
"796","44.678","5346"
"797","1.999","34358"
"798","351.124","16303"
"799","32.043","1998"
"800","50.417","3268"
"801","3.378","1130"
"802","0.092","4090"
"803","52.805","8737"
"804","0.139","8937"
"805","0.314","7482"
"806","0.256","5066"
"807","3077.285","2944"
"808","1611.531","2113"
"809","17.376","8807"
"810","1.011","667591"
"811","450.236","20529"
"812","313.447","12096"
"813","0.314","37968"
"814","29.81","2559"
"815","12.012","4041"
"816","38.948","3357"
"817","15.4","5606"
"818","7.519","3851"
"819","44.278","10317"
"820","45.662","4510"
"821","58.719","17222"
"822","1.088","1482"
"823","58.169","4209"
"824","10.615","17340"
"825","0.804","10252"
"826","38.965","32566"
"827","13.964","5360"
"828","2065.534","1920"
"829","0.437","2296"
"830","0","3158"
"831","0.128","36372"
"832","28.583","2540"
"833","6.579","4087"
"834","55.48","4633"
"835","0.739","11674"
"836","14.263","2208"
"837","2485.971","1229"
"838","3.575","156793"
"839","806.651","6324"
"840","2.409","9148"
"841","10.696","3915"
"842","76.976","11543"
"843","1927.226","2264"
"844","2.358","2556"
"845","13.293","1718"
"846","47.866","28107"
"847","9.68","1132"
"848","1615.632","2616"
"849","8.68","9420"
"850","0","2998"
"851","1412.422","1594"
"852","12.613","17493"
