"Name","Average coverage","Reference length"
"765","77.272","443267"
"766","77.283","1248"
"767","23.454","3648"
"768","23.129","20340"
"769","146.376","2455"
"770","1510.02","3318"
"771","395.558","8675"
"772","147.556","46650"
"773","53.493","7740"
"774","601.359","1377"
"775","255.684","1825"
"776","22.375","9227"
"777","165.941","7687"
"778","22.862","2841"
"779","45.423","11072"
"780","17.025","1359"
"781","497.913","1244"
"782","1741.573","1351"
"783","32.861","10915"
"784","504.839","12311"
"785","18.536","6558"
"786","70.748","118542"
"787","541.386","12426"
"788","568.271","28687"
"789","317.825","6105"
"790","22.613","15621"
"791","172.044","3166"
"792","1019.196","1527"
"793","159.712","3387"
"794","38.975","3034"
"795","307.51","5940"
"796","381.242","5346"
"797","45.694","34358"
"798","1534.63","16303"
"799","114.755","1998"
"800","105.371","3268"
"801","87.7","1130"
"802","21.452","4090"
"803","555.813","8737"
"804","23.428","8937"
"805","25.77","7482"
"806","14.697","5066"
"807","1613.2","2944"
"808","1495.226","2113"
"809","70.197","8807"
"810","50.898","667591"
"811","1724.746","20529"
"812","1536.615","12096"
"813","78.975","37968"
"814","101.129","2559"
"815","293","4041"
"816","214.924","3357"
"817","109.545","5606"
"818","62.783","3851"
"819","168.9","10317"
"820","133.716","4510"
"821","701.704","17222"
"822","27.929","1482"
"823","38.078","4209"
"824","382.187","17340"
"825","112.879","10252"
"826","871.011","32566"
"827","188.496","5360"
"828","1768.728","1920"
"829","29.015","2296"
"830","45.605","3158"
"831","39.103","36372"
"832","114.467","2540"
"833","37.295","4087"
"834","102.735","4633"
"835","52.927","11674"
"836","97.153","2208"
"837","1455.92","1229"
"838","69.43","156793"
"839","1018.547","6324"
"840","55.238","9148"
"841","41.506","3915"
"842","598.399","11543"
"843","1438.78","2264"
"844","19.554","2556"
"845","11.785","1718"
"846","950.272","28107"
"847","37.926","1132"
"848","1530.185","2616"
"849","31.309","9420"
"850","17.705","2998"
"851","1951.923","1594"
"852","161.267","17493"
"853","38.992","3615"
"854","373.667","1692"
"855","392.588","10309"
"856","637.656","1866"
"857","711.425","2830"
"858","25.596","13702"
"859","2113.637","2169"
"860","25.516","9215"
"861","20.443","24928"
"862","7.437","1405"
"863","30.33","4128"
"864","32.488","2928"
"865","40.707","7813"
"866","198.644","1367"
"867","124.597","6581"
"868","16.411","42681"
"869","17.808","2315"
"870","49.322","2547"
"871","39.712","2919"
"872","196.275","8689"
"873","39.779","1237"
"874","173.036","2675"
"875","11.08","1436"
"876","316.294","2492"
"877","22.601","2584"
"878","35.599","1548"
"879","1270.256","1620"
"880","143.604","16464"
"881","46.316","31653"
"882","2273.542","2119"
"883","951.434","1937"
"884","396.359","5530"
"885","1680.438","2960"
"886","285.256","2295"
"887","35.624","23189"
"888","6.904","1432"
"889","354.607","2863"
"890","146.203","15160"
"891","569.942","6255"
"892","543.242","8498"
"893","1702.871","1695"
"894","20.823","3048"
"895","143.454","5940"
"896","10.51","2323"
"897","2145.301","20268"
"898","49.576","251868"
"899","21.525","10803"
"900","460.916","3197"
"901","235.444","1112"
"902","328.27","1112"
"903","604.117","17302"
"904","28.744","1255"
"905","58.064","15498"
"906","2007.981","1130"
"907","14.242","1377"
"908","26.095","30061"
"909","71.818","1090"
"910","15.017","5473"
"911","141.152","33777"
"912","102.737","24099"
"913","194.519","1106"
"914","53.396","38517"
"915","368.815","26617"
"916","97.599","42647"
"917","519.812","11897"
"918","21.829","3647"
"919","30.501","8103"
"920","1658.823","2873"
"921","1564.997","2965"
"922","15.322","1188"
"923","132.162","2005"
"924","34.337","2895"
"925","101.555","2409"
"926","61.616","16815"
"927","16.985","2658"
"928","131.141","20580"
"929","7.306","1109"
"930","182.738","1672"
"931","17.779","21589"
"932","169.939","6207"
"933","201.4","3324"
"934","166.756","85771"
"935","12.417","4839"
"936","1515.151","3125"
"937","79.442","117890"
"938","598.658","3070"
"939","155.962","11058"
"940","63.028","343625"
"941","120.58","1010"
"942","79.333","1087"
"943","201.891","8516"
"944","101.108","3887"
"945","61.212","1664"
"946","533.515","17700"
"947","171.908","18889"
"948","9.75","1526"
"949","9.59","5258"
"950","145.462","19913"
"951","2262.379","3643"
"952","1613.165","19037"
"953","80.498","2940"
"954","164.229","13030"
"955","1560.941","45654"
"956","23.108","14323"
"957","69.932","1621"
"958","17.418","18464"
"959","36.749","3240"
"960","107.515","1761"
"961","52.733","2945"
"962","796.893","11877"
"963","96.236","11848"
"964","41.345","4599"
"965","78.309","2414"
"966","48.007","1737"
"967","134.211","4007"
"968","1325.527","11368"
"969","1461.463","1179"
"970","1519.039","2998"
"971","61.698","41418"
"972","591.068","14945"
"973","620.368","1050"
"974","10.814","3387"
"975","621.94","4999"
"976","35.196","4423"
"977","175.51","14510"
"978","64.692","3038"
"979","41.815","6312"
"980","46.047","22211"
"981","147.559","45830"
"982","235.059","2356"
"983","364.921","3640"
"984","7.065","1761"
"985","1458.967","1448"
"986","34.439","20456"
"987","1854.064","4446"
"988","50.991","8649"
"989","86.349","2001"
"990","52.888","6319"
"991","1479.185","2906"
"992","29.286","10260"
"993","1103.888","4263"
"994","1985.123","1065"
"995","158.492","9065"
"996","1703.507","1476"
"997","30.203","30297"
"998","1571.723","9443"
"999","33.429","11786"
"1000","38.749","1256"
"1001","112.814","3385"
"1002","370.199","13190"
"1003","16.852","127920"
"1004","600.092","13495"
"1005","695.521","4514"
"1006","205.942","17492"
"1007","94.787","65445"
"1008","679.334","17191"
"1009","11.299","4797"
"1010","51.579","7597"
"1011","227.579","73111"
"1012","11.871","13852"
"1013","13.78","7018"
"1014","1865.714","1977"
"1015","96.165","26611"
"1016","115.536","6353"
"1017","9.399","1841"
"1018","1709.07","1490"
"1019","7.52","1307"
"1020","282.518","13629"
"1021","14.3","2001"
"1022","28.301","37904"
"1023","59.535","36646"
"1024","412.577","39871"
"1025","292.773","8576"
"1026","85.801","78403"
"1027","27.704","23734"
"1028","140.795","30660"
"1029","147.001","32614"
"1030","1723.042","1093"
"1031","65.706","3527"
"1032","157.029","18917"
"1033","338.195","4348"
"1034","225.147","3700"
"1035","1273.18","1369"
"1036","14.303","1462"
"1037","37.307","4239"
"1038","208.205","1925"
"1039","681.441","1782"
"1040","41.616","12754"
"1041","829.589","3033"
"1042","398.713","6839"
"1043","1750.725","1697"
"1044","16.698","1422"
"1045","68.602","4440"
"1046","18.042","3471"
"1047","232.984","2006"
"1048","405.237","2712"
"1049","20.846","15826"
"1050","176.947","20301"
"1051","108.044","6099"
"1052","11.795","7711"
"1053","12.336","2125"
"1054","16.72","7458"
"1055","140.838","31433"
"1056","60.787","29973"
"1057","397.912","22601"
"1058","47.49","27624"
"1059","19.538","37866"
"1060","33.326","20250"
"1061","47.139","19357"
"1062","347.39","2835"
"1063","425.149","4752"
"1064","1700.155","1272"
"1065","122.556","2413"
"1066","57.932","3326"
"1067","1262.971","3237"
"1068","242.676","9862"
"1069","93.89","1646"
"1070","468.061","2727"
"1071","77.87","18274"
"1072","1605.721","1244"
"1073","20.442","2328"
"1074","465.232","1156"
"1075","1723.004","3406"
"1076","172.456","1395"
"1077","97.284","309732"
"1078","39.494","14836"
"1079","34.161","9652"
"1080","11.183","1061"
"1081","15.637","46301"
"1082","17.058","7227"
"1083","31.901","1480"
"1084","138.644","6967"
"1085","19.365","1973"
"1086","34.412","35796"
"1087","100.664","13601"
"1088","37.153","5185"
"1089","337.934","1448"
"1090","1561.047","27567"
"1091","588.864","13925"
"1092","63.98","4281"
"1093","1960.006","2341"
"1094","100.579","17205"
"1095","962.383","12599"
"1096","13.587","1721"
"1097","24.951","4339"
"1098","170.426","12551"
"1099","88.328","62013"
"1100","18.609","1484"
"1101","23.724","11786"
"1102","20.954","22288"
"1103","610.426","17259"
"1104","1675.55","1179"
"1105","9.604","2127"
"1106","649.5","5063"
"1107","121.114","23359"
"1108","1517.793","2362"
"1109","1252.678","1253"
"1110","135.321","8580"
"1111","148.911","40294"
"1112","782.227","1240"
"1113","842.353","5336"
"1114","695.595","37270"
"1115","301.554","8431"
"1116","984.886","1027"
"1117","122.919","7673"
"1118","11.315","6807"
"1119","206.715","9982"
"1120","853.373","10526"
"1121","539.609","14635"
"1122","46.798","22457"
"1123","8447.246","1231"
"1124","27.637","4504"
"1125","57.387","27150"
"1126","49.204","163943"
"1127","127.363","2860"
"1128","62.953","1052"
"1129","199.027","1711"
"1130","5.925","1782"
"1131","8.403","2402"
"1132","180.722","2764"
"1133","21.012","1637"
"1134","12.686","5657"
"1135","168.97","15215"
"1136","22.336","10156"
"1137","941.069","1341"
"1138","617.386","13489"
"1139","2192.953","1224"
"1140","635.389","1166"
"1141","58.6","2548"
"1142","388.852","9194"
"1143","164.447","12935"
"1144","15.573","9836"
"1145","48.737","53907"
"1146","23.438","11481"
"1147","92.94","1437"
"1148","160.822","8982"
"1149","2059.296","3995"
"1150","1007.958","1084"
"1151","49.666","187674"
"1152","39.389","1130"
"1153","26.522","2553"
"1154","19.416","3947"
"1155","95.626","2642"
"1156","147.91","3063"
"1157","406.284","1999"
"1158","142.606","2293"
"1159","15.24","3729"
"1160","1677.056","3148"
"1161","50.588","43422"
"1162","52.586","15414"
"1163","425.896","38442"
"1164","18.309","3183"
"1165","156.771","5285"
"1166","2049.78","1555"
"1167","9.538","6728"
"1168","462.95","3224"
"1169","591.911","6541"
"1170","9.623","3701"
"1171","352.578","2925"
"1172","139.26","2334"
"1173","18.057","2417"
"1174","163.502","21482"
"1175","24.437","1324"
"1176","195.644","2139"
"1177","54.344","19942"
"1178","68.34","1406"
"1179","159.337","39493"
"1180","9.46","4151"
"1181","56.496","157754"
